,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_spouse,name_sp_cl,year_m,year_div,name_sp_sp_cl,year_m_sp,year_div_sp,num_of_child_cl,num_of_child_sp_cl,name_sp_cl,num_of_m,name_sp_sp_cl,num_of_m_sp,num_of_role,num_of_role_sp,geohash,geohash_sp,zodiac,zodiac_sp,geo_distance ,sex,divorce
69,Katie Aselton,1978-10-01,Mark Duplass  ( m.  2006),2,,"Actress, film director/producer","Milbridge, Maine , U.S.",1976-12-07,"New Orleans ,  Louisiana , U.S.","
 Film director 
 film producer 
 screenwriter 
 actor 
 musician 
 film editor 
 author 
",Katie Aselton  ( m.  2006),2,1.8152323456333805,40.594947192618605,42.41017953825198,['Mark Duplass'],[2006],,['Katie Aselton'],[2006],,2.0,2.0,['Mark Duplass'],1.0,['Katie Aselton'],1.0,3.0,10.0,drztr76,9vrfqk7,9.0,11.0,20000000.0,F,0.0
70,Ashanti,1980-10-13,"
 Ja Rule 
 Irv Gotti 
 Fat Joe 
 Nelly 
",,,Singer songwriter record producer dancer actress,"Glen Cove, New York , U.S.",,,,,,,38.56068228642614,,,,,,,,,,,,,,6.0,,dr78kqv,,9.0,,,F,
71,Elizabeth Ashley,1939-08-30,James Farentino ( m.  1962;  div.  1965) George Peppard ( m.  1966;  div.  1972) James McCarthy ( m.  1975;  div.  1981),1,,Actress,"Ocala, Florida , U.S.",1938-02-24,"Brooklyn, New York , U.S.",,Elizabeth Ashley ( m.  1962;  div.  1965) Michele Lee ( m.  1966;  div.  1982) Debrah Mullowney ( m.  1985;  div.  1988) Stella Farentino  ( m.  1994),1,1.5113246678576562,79.68404553139352,81.19537019925119,"['James Farentino', 'George Peppard', 'James McCarthy']","[1962, 1966, 1975]","[1965, 1972, 1981]","['Elizabeth Ashley', 'Michele Lee', 'Debrah Mullowney', 'Stella Farentino']","[1962, 1966, 1985, 1994]","[1965, 1982, 1988]",1.0,1.0,"['James Farentino', 'George Peppard', 'James McCarthy']",3.0,"['Elizabeth Ashley', 'Michele Lee', 'Debrah Mullowney', 'Stella Farentino']",4.0,1.0,,djjw4c7,dr5rmm5,8.0,2.0,5003530.0,F,1.0
72,Mary Astor,1906-05-03,Kenneth Hawks ( m.  1928; his death 1930) Franklyn Thorpe ( m.  1931;  div.  1935) Manuel del Campo ( m.  1936;  div.  1941) Thomas Gordon Wheelock ( m.  1945;  div.  1955),2,,Actress,"Quincy, Illinois , U.S.",1898-08-12,"Goshen, Indiana",Film director,Mary Astor  (1928–1930; his death),,7.720897759707592,113.00984962045764,120.73074738016523,"['Kenneth Hawks', 'Franklyn Thorpe', 'Manuel del Campo', 'Thomas Gordon Wheelock']","[1928, 1931, 1936, 1945]","[1935, 1941, 1955]",,,,2.0,,"['Kenneth Hawks', 'Franklyn Thorpe', 'Manuel del Campo', 'Thomas Gordon Wheelock']",4.0,,,1.0,2.0,9zngpyj,dp6uwcc,4.0,7.0,20000000.0,F,1.0
73,Margaret Avery,1944-01-20,Robert Gordon Hunt ( m.  1974;  div.  1980),1,,Actress,"Mangum, Oklahoma , U.S.",,,,,,,75.29244269218395,,['Robert Gordon Hunt'],[1974],[1980],,,,1.0,,['Robert Gordon Hunt'],1.0,,,1.0,,9y1nrsr,,1.0,,,F,1.0
74,Nicki Aycox,1975-05-26,,,,"
 Actress 
 musician 
","Hennessey ,  Oklahoma , U.S.",,,,,,,43.946145369172534,,,,,,,,,,,,,,2.0,,9y6mkm2,,5.0,,,F,
75,Rochelle Aytes,1976-05-17,CJ Lindsey ( m.  2016),,Fiorello H. LaGuardia High SchoolState University of New York at Purchase,"Actress , model","Harlem, New York City ,  New York , U.S.",,,,,,,42.96871256767764,,['CJ Lindsey'],[2016],,,,,,,['CJ Lindsey'],1.0,,,3.0,,dr72jm9,,4.0,,,F,0.0
76,Candice Azzara,1945-05-18,,,,Actress,"Brooklyn ,  New York , U.S.",,,,,,,73.96729570080153,,,,,,,,,,,,,,1.0,,dr5rmm5,,4.0,,,F,
77,Lauren Bacall,1924-09-16,Humphrey Bogart ( m.  1945; died 1957) Jason Robards ( m.  1961;  div.  1969),"3, including  Sam Robards",,"
 Actress 
 model 
","The Bronx ,  New York City , U.S.",1899-12-25,"New York City , New York, U.S.",Actor,Helen Menken ( m.  1926;  div.  1927) Mary Philips ( m.  1928;  div.  1937) Mayo Methot ( m.  1938;  div.  1945) Lauren Bacall ( m.  1945; his death 1957),2,24.726038180113214,94.63575569655777,119.36179387667097,"['Humphrey Bogart', 'Jason Robards']","[1945, 1961]",[1969],"['Helen Menken', 'Mary Philips', 'Mayo Methot', 'Lauren Bacall']","[1926, 1928, 1938, 1945]","[1927, 1937, 1945]",3.0,2.0,"['Humphrey Bogart', 'Jason Robards']",2.0,"['Helen Menken', 'Mary Philips', 'Mayo Methot', 'Lauren Bacall']",4.0,2.0,1.0,dr72r5t,dr5regw,8.0,0.0,625441.0,F,1.0
78,Barbara Bach,1947-08-27,Count Augusto Gregorini ( m.  1966;  div.  1978) Sir  Ringo Starr  ( m.  1981),"2, including  Francesca Gregorini",,"Actress, model","Queens ,  New York City , New York, U.S.",,,,,,,71.69209497799407,,"['Count Augusto Gregorini', 'Sir Ringo Starr']","[1966, 1981]",[1978],,,,2.0,,"['Count Augusto Gregorini', 'Sir Ringo Starr']",2.0,,,2.0,,dr5x8y2,,8.0,,,F,1.0
79,Catherine Bach,1954-03-01,David Shaw ( m.  1976;  div.  1981) Peter Lopez ( m.  1990; died 2010),2,"University of California, Los Angeles (withdrawn)",Actress,"Warren, Ohio , U.S.",,,,,,,65.1813521153754,,"['David Shaw', 'Peter Lopez']","[1976, 1990]",[1981],,,,2.0,,"['David Shaw', 'Peter Lopez']",2.0,,,1.0,,dpqd8gj,,2.0,,,F,1.0
80,Mary Badham,1952-10-07,Richard Wilt ( m.  1975),2,,"Child actress, art restorer","Birmingham, Alabama , U.S.",,,,,,,66.57768468893954,,['Richard Wilt'],[1975],,,,,2.0,,['Richard Wilt'],1.0,,,4.0,,djfq8tf,,9.0,,,F,0.0
81,Jane Badler,1953-12-31,Stephen  Hains [1],2,,"Actress, singer","Brooklyn ,  New York City , U.S.",,,,,,,65.34562653579471,,,,,,,,2.0,,,,,,2.0,,dr5rmm5,,0.0,,,F,
82,Erykah Badu,1971-02-26,André 3000  (1995-1999) Jay Electronica  (2004–2009) Carl Jones (2013–2018),3,,Singer songwriter record producer,"Dallas ,  Texas , U.S.",,,,,,,48.18990123000472,,,,,,,,3.0,,,,,,4.0,,9vg4mqf,,2.0,,,F,
83,Katherine Bailess,1980-04-24,,,St. Aloysius Catholic High School,"Actress, dancer, singer-songwriter","Vicksburg, Mississippi , U.S.",,,,,,,39.03160229162817,,,,,,,,,,,,,,3.0,,9vz2h18,,4.0,,,F,
84,Laura Bailey,,Travis Willingham  ( m.  2011),1,,"Voice actress, voice director, actress","Mississippi , U.S. [1]",,,"Actor, voice actor",Laura Bailey  ( m.  2011),1,,,,['Travis Willingham'],[2011],,['Laura Bailey'],[2011],,1.0,1.0,['Travis Willingham'],1.0,['Laura Bailey'],1.0,5.0,3.0,9vzr999,,,,,F,0.0
85,Pearl Bailey,1918-03-29,John Randolph Pinkett ( m.  1948–1952) Louie Bellson  ( m.  1952–1990),2,,"Actress, singer","Newport News, Virginia , U.S.",,,,,,,101.10542995407161,,"['John Randolph Pinkett', 'Louie Bellson']","[1948, 1952]",,,,,2.0,,"['John Randolph Pinkett', 'Louie Bellson']",2.0,,,2.0,,dq9dgz6,,3.0,,,F,1.0
86,Barbara Bain,1931-09-13,Martin Landau ( m.  1957;  div.  1993),Juliet Landau Susan Bain Landau Finch,,"Actress, former dancer and model","Chicago ,  Illinois , U.S.",1928-06-20,"Brooklyn, New York City , U.S.","Actor, acting coach",Barbara Bain ( m.  1957;  div.  1993),Susan Landau Finch Juliet Landau,3.230730268246439,87.64587910771611,90.87660937596254,['Martin Landau'],[1957],[1993],['Barbara Bain'],[1957],[1993],,,['Martin Landau'],1.0,['Barbara Bain'],1.0,5.0,3.0,dp3wjzt,dr5rmm5,8.0,5.0,5003530.0,F,1.0
87,Fay Bainter,1893-12-07,Reginald Venable  (m. 1921–1964; his death; 1 son),,,"Actress, Singer","Los Angeles, California , U.S. [1]",,,,,,,125.40983045510859,,['Reginald Venable'],[1921],,,,,,,['Reginald Venable'],1.0,,,2.0,,9q5c1uf,,11.0,,,F,1.0
88,Diora Baird,1983-04-06,Jonathan Togo ( m.  2013;  div.  2016),1 [1],,"Actress, model","Miami ,  Florida , United States",1977-08-25,"Rockland, Massachusetts , US",Actor,Diora Baird ( m.  2013;  div.  2016),1,5.612709364326441,36.08287644510154,41.69558580942798,['Jonathan Togo'],[2013],[2016],['Diora Baird'],[2013],[2016],,1.0,['Jonathan Togo'],1.0,['Diora Baird'],1.0,2.0,1.0,dhwfx1y,drmxdm8,3.0,8.0,5003530.0,F,1.0
89,Blanche Baker,1956-12-20,Bruce Van Dusen ( m.  1983;  div.  2002) Mark Magill ( m.  2003),4,,Actress,"New York City, New York , U.S.",,,,,,,62.37499743321218,,"['Bruce Van Dusen', 'Mark Magill']","[1983, 2003]",[2002],,,,4.0,,"['Bruce Van Dusen', 'Mark Magill']",2.0,,,1.0,,dr5regw,,11.0,,,F,1.0
90,Carroll Baker,1931-05-28,"
 Louie Ritter ( m.  1953;  div.  1953) 
 Jack Garfein ( m.  1955;  div.  1969) 
 Donald Burton ( m.  1978; died 2007) 
","
 Blanche Baker 
 Herschel Garfein 
",,Actress writer,"Johnstown ,  Pennsylvania , U.S.",,,,,,,87.94157306447086,,"['Louie Ritter', 'Jack Garfein', 'Donald Burton']","[1953, 1955, 1978]","[1953, 1969]",,,,,,"['Louie Ritter', 'Jack Garfein', 'Donald Burton']",3.0,,,2.0,,dppvkj6,,5.0,,,F,1.0
91,Diane Baker,1938-02-25,,,,"Actress, producer","Hollywood ,  Los Angeles ,  California , U.S.",,,,,,,81.1926322922442,,,,,,,,,,,,,,2.0,,9q5cgq7,,2.0,,,F,
92,Kathy Baker,1950-06-08,Donald Camillieri ( m.  1985;  div.  1999)   Steven Robman  ( m.  2003),2,"California Institute of the ArtsUniversity of California, Berkeley (BA)",Actress,"Midland, Texas , U.S.",,,,,,,68.91038145889375,,"['Donald Camillieri', 'Steven Robman']","[1985, 2003]",[1999],,,,2.0,,"['Donald Camillieri', 'Steven Robman']",2.0,,,1.0,,9txqj0v,,5.0,,,F,1.0
93,Leigh-Allyn Baker,1972-03-13,Keith Kauffman (m. 2004),2 [2],,"Actress, voice artist","Murray, Kentucky , U.S. [3]",,,,,,,47.1467586603421,,['Keith Kauffman'],[2004],,,,,,,['Keith Kauffman'],1.0,,,3.0,,dn90q2e,,2.0,,,F,0.0
94,Brenda Bakke,1963-05-15,,,,Actress,"Klamath Falls, Oregon , U.S.",,,,,,,55.97650875788004,,,,,,,,,,,,,,1.0,,9r92hyc,,4.0,,,F,
95,Fairuza Balk,1974-05-21,,,,"Actress, musician","Point Reyes ,  California , U.S.",,,,,,,44.95917096175828,,,,,,,,,,,,,,2.0,,9qb832b,,5.0,,,F,
96,Lucille Ball,1911-08-06,Desi Arnaz ( m.  1940;  div.  1960) Gary Morton  ( m.  1961),Lucie Arnaz Desi Arnaz Jr.,,"Actress, comedian, model, film studio executive, TV producer","Jamestown, New York , U.S.",1917-03-02,"Santiago de Cuba ,  Republic of Cuba  (present-day  Cuba )","Actor, musician, producer",Lucille Ball ( m.   1940 ;  div.   1960 ) Edith Mack Hirsch ( m.   1963 ; died 1985),Lucie Arnaz Desi Arnaz Jr.,-5.571640759221613,107.75033026003271,102.1786895008111,"['Desi Arnaz', 'Gary Morton']","[1940, 1961]",[1960],"['Lucille Ball', 'Edith Mack Hirsch']","[1940, 1963]",[1960],,,"['Desi Arnaz', 'Gary Morton']",2.0,"['Lucille Ball', 'Edith Mack Hirsch']",2.0,8.0,3.0,dprxkzw,d7d1f7y,7.0,2.0,5003530.0,F,1.0
97,Kaye Ballard,1925-11-20,,,,"Actress, singer, comedian","Cleveland, Ohio , U.S.",,,,,,,93.45845568355271,,,,,,,,,,,,,,3.0,,dpmuhfx,,10.0,,,F,
98,Talia Balsam,1959-03-05,George Clooney ( m.  1989;  div.  1993) John Slattery  ( m.  1998),1,,Actress,"New York City , U.S.",1961-05-06,"Lexington, Kentucky , U.S.","Actor, screenwriter, producer with  Smoke House Pictures , director","
 Talia Balsam ( m.  1989;  div.  1993) 
 Amal Alamuddin  ( m.   2014 ) 
",2,-2.1711602565418864,60.17098229258643,57.99982203604455,"['George Clooney', 'John Slattery']","[1989, 1998]",[1993],"['Talia Balsam', 'Amal Alamuddin']","[1989, 2014]",[1993],1.0,2.0,"['George Clooney', 'John Slattery']",2.0,"['Talia Balsam', 'Amal Alamuddin']",2.0,1.0,9.0,dr5regw,dngbmj4,2.0,4.0,5003530.0,F,1.0
99,Anne Bancroft,1931-09-17,Martin May ( m.  1953;  div.  1957) Mel Brooks  ( m.  1964),Max Brooks,,"Actress, director, screenwriter and singer","The Bronx , New York, U.S.",,,,,,,87.63492747968816,,"['Martin May', 'Mel Brooks']","[1953, 1964]",[1957],,,,,,"['Martin May', 'Mel Brooks']",2.0,,,5.0,,dr72r5t,,8.0,,,F,1.0
100,Tallulah Bankhead,1902-01-31,John Emery ( m.  1937;  div.  1941),,,Actress,"Huntsville, Alabama , U.S.",1905-05-20,"New York City ,  New York , U.S.",Actor,Patricia Calvert  ( m.  1926–1929) [1] Tallulah Bankhead ( m.  1937;  div.  1941) Tamara Geva ( m.  1942;  div.  1963) [2],,-3.2991779434211517,117.26181920231079,113.96264125888965,['John Emery'],[1937],[1941],"['Patricia Calvert', '1 Tallulah Bankhead', 'Tamara Geva']","[1926, 1937, 1942]","[1941, 1963]",,,['John Emery'],1.0,"['Patricia Calvert', '1 Tallulah Bankhead', 'Tamara Geva']",3.0,1.0,1.0,dn4mtdm,dr5regw,1.0,4.0,5003530.0,F,1.0
101,Elizabeth Banks,1974-02-10,Max Handelman  ( m.  2003),2,University of Pennsylvania (BA)American Conservatory Theater (MFA),Actress director producer,"Pittsfield, Massachusetts , U.S.",1973-05-03,"Portland ,  Oregon , U.S.","Sportswriter, film producer, blogger",Elizabeth Banks  ( m.  2003),2,0.7748276829777476,45.232961662457136,46.00778934543488,['Max Handelman'],[2003],,['Elizabeth Banks'],[2003],,2.0,2.0,['Max Handelman'],1.0,['Elizabeth Banks'],1.0,3.0,4.0,drecmrb,c20fbmg,1.0,4.0,20000000.0,F,0.0
102,Tyra Banks,1973-12-04,Erik Asla (2013–2017),1,,"
 Television personality 
 producer 
 businesswoman 
 model 
 actress 
 singer 
 author 
","Inglewood, California , U.S.",,,,,,,45.419139338932354,,,,,,,,1.0,,,,,,8.0,,9q5c4y9,,11.0,,,F,
103,Christine Baranski,1952-05-02,Matthew Cowles ( m.  1983; died 2014),2,Juilliard School (BFA),"
 Actress 
 singer 
 producer 
","Buffalo ,  New York , U.S.",1944-09-28,"New York City , U.S.",Actor,Kathleen Dezina  ( m.  1980; divorced) Christine Baranski  ( m.  1983),2,7.592216130379132,67.01027399604372,74.60249012642285,['Matthew Cowles'],[1983],,,,,2.0,2.0,['Matthew Cowles'],1.0,,,3.0,1.0,dpxgvp4,dr5regw,4.0,9.0,5003530.0,F,0.0
104,Adrienne Barbeau,1945-06-11,John Carpenter ( m.  1979;  div.  1984) Billy Van Zandt ( m.  1992;  div.  2018),3,,"Actress, singer, writer","Sacramento, California , U.S.",1948-01-16,"Carthage ,  New York , U.S.","
 Film director 
 screenwriter 
 producer 
 editor 
 composer 
 musician 
",Adrienne Barbeau ( m.  1979;  div.  1984) Sandy King  ( m.  1990),1,-2.5982737496320936,73.9015859326338,71.30331218300171,"['John Carpenter', 'Billy Van Zandt']","[1979, 1992]","[1984, 2018]","['Adrienne Barbeau', 'Sandy King']","[1979, 1990]",[1984],3.0,1.0,"['John Carpenter', 'Billy Van Zandt']",2.0,"['Adrienne Barbeau', 'Sandy King']",2.0,3.0,7.0,9qce7rd,drf4pmy,5.0,0.0,20000000.0,F,1.0
105,Ellen Barkin,1954-04-16,Gabriel Byrne ( m.  1988;  div.  1999)     Ronald O. Perelman ( m.  2000;  div.  2006),2,,Actress,"The Bronx ,  New York , U.S.",1950-05-12,"Dublin , Ireland","Actor, film director, film producer, screenwriter, author","
 Ellen Barkin ( m.  1988;  div.  1999) 
 Hannah Beth King ( m.  2014) 
",3,3.9288965550285084,65.05540839305392,68.98430494808244,"['Gabriel Byrne', 'Ronald O Perelman']","[1988, 2000]","[1999, 2006]","['Ellen Barkin', 'Hannah Beth King']","[1988, 2014]",[1999],2.0,3.0,"['Gabriel Byrne', 'Ronald O Perelman']",2.0,"['Ellen Barkin', 'Hannah Beth King']",2.0,1.0,7.0,dr72r5t,gc7x981,3.0,4.0,20000000.0,F,1.0
106,Joanna Eyles,1934-11-15,"Richard Edward Herndon (m. 1955–?; divorced) Lawrence Dobkin (m. 1961–1967; divorced) Jack Lionel Warner (married 1980–2012, his death)",,,,"Boston ,  Massachusetts",,,,,,,84.47264488661642,,,,,,,,,,,,,,,,drt2zp2,,10.0,,,F,
107,Priscilla Barnes,1954-12-07,Ted Monte,,,Actress,"Fort Dix, New Jersey , U.S.",,,,,,,64.41200024641164,,,,,,,,,,,,,,1.0,,dr4gwp0,,11.0,,,F,
108,Majel Barrett,1932-02-23,Gene Roddenberry ( m.  1969; died 1991),Rod Roddenberry,Shaker Heights High School,"Actress, producer, voice actress","Columbus , Ohio, U.S.",1921-08-19,"El Paso, Texas , U.S.","Television writer ,  producer",Robert Wesley,"3, including  Rod Roddenberry",10.513562906835869,87.19960026557698,97.71316317241285,['Gene Roddenberry'],[1969],,,,,,3.0,['Gene Roddenberry'],1.0,,,4.0,4.0,dphgr6d,9tsk8y5,2.0,7.0,20000000.0,F,0.0
109,Barbara Barrie,1931-05-23,Jay Harnick ( m.  1964; died 2007),2,,"Actress, singer, author","Chicago ,  Illinois , U.S.",,,,,,,87.9552625995058,,['Jay Harnick'],[1964],,,,,2.0,,['Jay Harnick'],1.0,,,3.0,,dp3wjzt,,5.0,,,F,0.0
110,Dana Barron,1966-04-22,,1,,Actress,"New York City ,  New York , U.S.",,,,,,,53.03873453938137,,,,,,,,1.0,,,,,,1.0,,dr5regw,,4.0,,,F,
111,Drew Barrymore,1975-02-22,Shakil Akhtar ( m.  1994;  div.  1995) Tom Green ( m.  2001;  div.  2002) Will Kopelman ( m.  2012;  div.  2016),2,,"
 Actress 
 producer 
 director 
 author 
 model 
 entrepreneur 
","Culver City, California , U.S",,,,,,,44.20077072082247,,"['Shakil Akhtar', 'Tom Green', 'Will Kopelman']","[1994, 2001, 2012]","[1995, 2002, 2016]",,,,2.0,,"['Shakil Akhtar', 'Tom Green', 'Will Kopelman']",3.0,,,6.0,,9q5c9c6,,2.0,,,F,1.0
112,Ethel Barrymore,1879-08-15,Russell Griswold Colt ( m.  1909;  div.  1923),3,,Actress,"Philadelphia ,  Pennsylvania , U.S.",,,,,,,139.7236082876445,,['Russell Griswold Colt'],[1909],[1923],,,,3.0,,['Russell Griswold Colt'],1.0,,,1.0,,dr4e394,,7.0,,,F,1.0
113,Roseanne Barr,1952-11-03,Bill Pentland ( m.  1974;  div.  1990) Tom Arnold ( m.  1990;  div.  1994) Ben Thomas ( m.  1995;  div.  2002),5,,"Actress, comedian, writer, producer, politician","Salt Lake City , Utah, U.S.",,,,,,,66.50376119975085,,"['Bill Pentland', 'Tom Arnold', 'Ben Thomas']","[1974, 1990, 1995]","[1990, 1994, 2002]",,,,5.0,,"['Bill Pentland', 'Tom Arnold', 'Ben Thomas']",3.0,,,5.0,,9x0rvu7,,10.0,,,F,1.0
114,Bonnie Bartlett,1929-06-20,William Daniels  ( m.  1951),3,,"Film, television actress","Wisconsin Rapids, Wisconsin , U.S.",,,,,,,89.87727331841174,,['William Daniels'],[1951],,,,,3.0,,['William Daniels'],1.0,,,3.0,,dpbhkpv,,5.0,,,F,0.0
115,Mischa Barton,1986-01-24,,,,"
 Actress 
 fashion model 
 fashion designer 
","Hammersmith ,  London , England",,,,,,,33.27925966994531,,,,,,,,,,,,,,5.0,,gcpufvt,,1.0,,,F,
116,Kim Basinger,1953-12-08,"
 Ron Snyder ( m.  1980;  div.  1989) 
 Alec Baldwin ( m.  1993;  div.  2002) 
",Ireland Baldwin,,"
 Actress 
 model 
 singer 
 producer 
 animal rights activist 
","Athens, Georgia ,  U.S.",,,,,,,65.40859839695544,,"['Ron Snyder', 'Alec Baldwin']","[1980, 1993]","[1989, 2002]",,,,,,"['Ron Snyder', 'Alec Baldwin']",2.0,,,7.0,,dnh9phu,,11.0,,,F,1.0
117,Angela Bassett,1958-08-16,Courtney B. Vance  ( m.  1997),2,,Actress,"New York City ,  New York , U.S.",1960-03-12,"Detroit ,  Michigan , U.S.",Actor,Angela Bassett  ( m.  1997),2,-1.5715586220114033,60.721301600991126,59.14974297897972,['Courtney B Vance'],[1997],,['Angela Bassett'],[1997],,2.0,2.0,['Courtney B Vance'],1.0,['Angela Bassett'],1.0,1.0,1.0,dr5regw,dpsby4p,7.0,2.0,5003530.0,F,0.0
118,Justine Bateman,1966-02-19,Mark Fluent ( m.  2001),2,,"Writer, director, producer, actress","Rye ,  New York , U.S.",,,,,,,53.20848477381466,,['Mark Fluent'],[2001],,,,,2.0,,['Mark Fluent'],1.0,,,4.0,,dr795k3,,2.0,,,F,0.0
119,Kathy Bates,1948-06-28,Tony Campisi ( m.  1991;  div.  1997),,,"Actress, director","Memphis, Tennessee , U.S.",,,,,,,70.85429543385558,,['Tony Campisi'],[1991],[1997],,,,,,['Tony Campisi'],1.0,,,2.0,,9ypzyyu,,6.0,,,F,1.0
120,Cyia Batten,1972-01-26,,,,"Actress, dancer, model,  vedette / showgirl","Locust Valley, New York , U.S.",,,,,,,47.27544028967056,,,,,,,,,,,,,,6.0,,dr78t30,,1.0,,,F,
121,Frances Bavier,1902-12-14,,,,Actress,"Manhattan , New York City, U.S.",,,,,,,116.39390268109544,,,,,,,,,,,,,,1.0,,dr72h8r,,11.0,,,F,
122,Anne Baxter,1923-05-07,John Hodiak ( m.  1946;  div.  1953) Randolph Galt ( m.  1960;  div.  1969) David Klee ( m.  1977; his death 1977),3,,"Actress, singer","Michigan City, Indiana , U.S.",1914-04-16,"Pittsburgh , Pennsylvania, U.S.",,Anne Baxter ( m.  1946;  div.  1953),1,9.056996379117983,95.99923338603804,105.05622976515603,"['John Hodiak', 'Randolph Galt', 'David Klee']","[1946, 1960, 1977]","[1953, 1969]",['Anne Baxter'],[1946],[1953],3.0,1.0,"['John Hodiak', 'Randolph Galt', 'David Klee']",3.0,['Anne Baxter'],1.0,2.0,,dp6jq8s,dppn59u,4.0,3.0,625441.0,F,1.0
123,Meredith Baxter,1947-06-21,Meredith Baxter Birney,5,James Monroe High SchoolHollywood High SchoolInterlochen Center for the Arts,"Actress, producer","South Pasadena, California , U.S.",,,,,,,71.8755347474623,,,,,,,,5.0,,,,,,2.0,,9q5fp6t,,6.0,,,F,
124,Jennifer Beals,1963-12-19,Alexandre Rockwell ( m.  1986;  div.  1996) Ken Dixon ( m.  1998),1,Francis W. Parker SchoolYale University,"Actress, model","Chicago ,  Illinois , U.S.",1956-08-18,"Boston ,  Massachusetts , U.S.","Screenwriter, producer, film director",Jennifer Beals ( m.  1986;  div.  1996) Karyn Parsons Rockwell  ( m.  2003),2,7.334852871722212,55.37964503035654,62.714497902078755,"['Alexandre Rockwell', 'Ken Dixon']","[1986, 1998]",[1996],"['Jennifer Beals', 'Karyn Parsons Rockwell']","[1986, 2003]",[1996],1.0,2.0,"['Alexandre Rockwell', 'Ken Dixon']",2.0,"['Jennifer Beals', 'Karyn Parsons Rockwell']",2.0,2.0,4.0,dp3wjzt,drt2zp2,11.0,7.0,5003530.0,F,1.0
125,Amanda Bearse,1958-08-09,Carrie Schenken (2010–present),1,,"Actress, director, comedian","Winter Park, Florida , U.S.",,,,,,,60.740466950040044,,,,,,,,1.0,,,,,,3.0,,djn4tn6,,7.0,,,F,
126,Madisen Beaty,,,,,Actress,"Centennial, Colorado , U.S. [1]",,,,,,,,,,,,,,,,,,,,,1.0,,9xj3jq5,,,,,F,
127,Kimberly Beck,1956-01-09,"William Barron Hilton, Jr. ( m.  1978–1985)  (divorced) Jason Clark ( m.  1988)",,Glendale High School,Actress,"Glendale, California , U.S.",,,,,,,63.322313257630206,,,,,,,,,,,,,,1.0,,9q5fjp3,,0.0,,,F,
128,Bonnie Bedelia,1948-03-25,Ken Luber ( m.  1969;  div.  1980) Michael MacRae ( m.  1995),2,,Actress,"New York City ,  New York , U.S.",,,,,,,71.1143965995195,,"['Ken Luber', 'Michael MacRae']","[1969, 1995]",[1980],,,,2.0,,"['Ken Luber', 'Michael MacRae']",2.0,,,1.0,,dr5regw,,3.0,,,F,1.0
129,Nicole Beharie,1985-01-03,,,Juilliard School (BFA),"Actress, singer","West Palm Beach, Florida , U.S.",,,,,,,34.336091774642874,,,,,,,,,,,,,,2.0,,dhxpfr6,,0.0,,,F,
130,Beth Behrs,1985-12-26,Michael Gladis  ( m.   2018 ),,,"Actress, writer","Lancaster, Pennsylvania , U.S.",1977-08-30,"Houston ,  Texas , U.S.",Actor,Beth Behrs  ( m.  2018),,8.323237301245063,33.358658973147975,41.68189627439304,['Michael Gladis'],[2018],,['Beth Behrs'],[2018],,,,['Michael Gladis'],1.0,['Beth Behrs'],1.0,2.0,1.0,dr1ez8s,9vk1mc9,0.0,8.0,20000000.0,F,0.0
131,Doris Belack,1926-02-26,Philip Rose ( m.  1946; died 2011),,,Actress,"New York City , U.S.",1921-07-04,"Manhattan ,  New York City , U.S.",Producer,Doris Belack  ( m.  1946),,4.648966097866486,93.19014079686784,97.83910689473431,['Philip Rose'],[1946],,['Doris Belack'],[1946],,,,['Philip Rose'],1.0,['Doris Belack'],1.0,1.0,1.0,dr5regw,dr72h8r,2.0,6.0,625441.0,F,0.0
132,Ashley Bell,1986-05-26,,,,Actress,"Santa Monica, California ,  USA",,,,,,,32.94523501509271,,,,,,,,,,,,,,1.0,,9q59x9j,,5.0,,,F,
133,Catherine Bell,1968-08-14,Adam Beason ( m.  1994;  div.  2011),2,,"Model, Actress, Producer","London ,  England , UK",,,,,,,50.72520311847608,,['Adam Beason'],[1994],[2011],,,,2.0,,['Adam Beason'],1.0,,,3.0,,gcpvj0d,,7.0,,,F,1.0
134,Jillian Bell,1984-04-25,,,,Actress screenwriter comedian,"Las Vegas, Nevada , U.S.",,,,,,,35.028782247410966,,,,,,,,,,,,,,3.0,,9qqjgbt,,4.0,,,F,
135,Kristen Bell,1980-07-18,Dax Shepard  ( m.  2013),2,,Actress,"Huntington Woods, Michigan , U.S.",1975-01-02,"Highland Township, Oakland County, Michigan , U.S.","Actor, writer, director, podcast host",Kristen Bell  ( m.  2013),2,5.54152378214474,38.79888019603414,44.340403978178884,['Dax Shepard'],[2013],,['Kristen Bell'],[2013],,2.0,2.0,['Dax Shepard'],1.0,['Kristen Bell'],1.0,1.0,5.0,dpscemr,dpsd94p,6.0,0.0,123264.0,F,0.0
136,Lake Bell,1979-03-24,Scott Campbell  ( m.  2013),2,,"Actress, director, screenwriter","New York City ,  New York ,  U.S.",1977-05-13,,,Lake Bell  ( m.  2013),,1.8617767647521852,40.1185513734026,41.98032813815479,['Scott Campbell'],[2013],,['Lake Bell'],[2013],,2.0,,['Scott Campbell'],1.0,['Lake Bell'],1.0,3.0,,dr5regw,,3.0,4.0,,F,0.0
