,name_m,bday_m,spouse_m,child_m,education_m,role_m,birthplace_m,bday_m_sp,birthplace_m_sp,role_m_sp,spouse_m_sp,child_m_sp,age_m_diff,age_m,age_m_spouse
170,Eddie Anderson,1905-09-18,Mamie Wiggins Nelson ( m.  1932; her death 1954) Eva Simon ( m.  1956; divorce 1973),4,,"Comedian, actor","Oakland, California, U.S.",,,,,,,113.54647939382738,
171,Eric Chase Anderson,,,,,"Author, illustrator, actor","Houston, Texas, United States",,,,,,,,
172,George Anderson,,,,,actor,"New York City, New York, U.S.",,,,,,,,
173,Herbert Anderson,1917-03-30,Mary Virginia Palmer,2,,,"Oakland, California",,,,,,,102.01715298739879,
174,James Anderson,1921-07-13,,,,Actor,"Wetumpka, Alabama, U.S.",,,,,,,97.72959061445478,
175,Jeff Anderson,1970-04-21,Lisa Spoonauer  (1998–1999) [1] Barbara Jacques (2009–present),,,,"Connecticut, United States",,,,,,,48.95651519196151,
176,John Anderson,1922-10-20,,,,"Actor, film director","Clayton, Illinois, U.S.",,,,,,,96.4592017632121,
177,Lee Aaker,1943-09-25,Sharon Ann Hamilton (1969-71) (divorced),,,"Actor, producer, carpenter, ski instructor","Los Angeles, California, U.S.",,,,,,,75.52790269478497,
178,Willie Aames,1960-07-15,Vicki Weatherman ( m.  1979–1984) Maylo McCaslin ( m.  1986–2009) Winnie Hung ( m.  2014),2,,"Actor, director, television producer, screenwriter","Newport Beach, California, U.S.",,,,,,,58.72262948588951,
179,Quinton Aaron,1984-08-15,,,,Actor,"The Bronx, New York, U.S.",,,,,,,34.63726154541161,
180,Victor Aaron,1956-09-11,Eduvina Matta (m. 1974–1984) divorced,2,,"Actor, voice actor","Odessa, Texas, U.S.",,,,,,,62.563913016694386,
181,Bruce Abbott,1954-07-28,Linda Hamilton ( m.  1982;  div.  1989) Kathleen Quinlan  ( m.  1994),2,,Actor,"Portland, Oregon, U.S.",1956-09-26,"Salisbury, Maryland, U.S.",Actress,"
 Bruce Abbott ( m.  1982;  div.  1989) 
 James Cameron ( m.  1997;  div.  1999) 
",2,-2.1656844425279096,64.68852885411746,62.52284441158956
182,Bud Abbott,,Betty Smith ( m.  1918),2,,"Actor, comedian, producer","Asbury Park, New Jersey, U.S.",,,,,,,,
183,Christopher Abbott,1986-02-01,,,HB Studio,Actor,"Greenwich, Connecticut, U.S.",,,,,,,33.17248129667276,
184,Philip Abbott,,Jane Dufrayne ( m.  1950–1998),,,Actor,"Lincoln, Nebraska, U.S.",,,,,,,,
185,Richard Abbott,1899-05-22,,,,Actor,"Antwerp, Belgium",,,,,,,119.87104457997084,
186,Jake Abel,1987-11-18,Allie Wood ( m.  2013),,,"Model, actor, singer","Canton, Ohio, U.S.",,,,,,,31.379152207095284,
187,Walter Abel,1898-06-06,Marietta Bitter (1926-1979; her death),2,,Actor,"St. Paul, Minnesota, U.S.",,,,,,,120.82931203241682,
188,Zachary Abel,1980-09-04,,,,Actor,"Middletown, Indiana, U.S.",,,,,,,38.58258554248205,
189,F. Murray Abraham,1939-10-24,Kate Hannan  ( m.  1962),2,,Actor,"Pittsburgh, Pennsylvania, U.S.",,,,,,,79.44858552879252,
190,Jon Abrahams,1977-10-29,,,,Actor,"New York City, New York, U.S.",,,,,,,41.43274673675709,
191,Omid Abtahi,1979-07-12,,,,Actor,"Tehran, Iran",,,,,,,39.732506485417225,
192,Yousef Abu-Taleb,,,,,Actor/Producer/Comedian,"Arlington County, Virginia, U.S.",,,,,,,,
193,Kirk Acevedo,1971-11-27,Kiersten Warren  ( m.  2005),"2, including stepdaughter Misti Traya",,Actor,"Brooklyn, New York City, U.S.",,"Iowa, U.S.",Actress,Jonathan Lemkin ( m.  1990;  div.  2005) Kirk Acevedo  ( m.  2005),"2, including Misti Traya",,47.354839592873226,
194,Jensen Ackles,1978-03-01,Danneel Harris  ( m.  2010),3,,"Actor, director","Dallas, Texas, U.S.",1979-03-18,"Lafayette, Louisiana, U.S.",Actress,Jensen Ackles [1]  ( m.  2010),3,-1.04588047666961,41.0959841748975,40.050103698227886
195,Rodolfo Acosta,1920-07-29,Jeanine Cohen  (m. 1945-19??) [1],2[1],,,"Chamizal, Texas, U.S.",,,,,,,98.68512015989377,
196,Jay Acovone,1955-08-20,,,,Actor,"Mahopac, New York, U.S.",,,,,,,63.62622093540593,
197,Eddie Acuff,1903-06-03,,,,Actor,"Caruthersville, Missouri, U.S.",,,,,,,115.84084546568376,
198,Jason Acuña,1973-05-16,"2001
",,,"Actor, stunt performer, professional skateboarder, television personality","Pisa, Italy",,,,,,,45.88732143712739,
199,Robert Adair,1900-01-03,,,,Actor,"San Francisco, California, U.S.",,,,,,,119.25227759639144,
200,Brandon Adams,1979-08-22,Brandon Adams Brandon Q. Adams,,,Actor,"Topeka, Kansas, U.S.",,,,,,,39.620252298130694,
201,CJ Adams,2000-04-06,,,,Actor,"Rhode Island, U.S.",,,,,,,18.995598814486264,
202,Don Adams,1923-04-13,Adelaide Efantis ( m.  1947;  div.  1960) Dorothy Bracken ( m.  1960;  div.  1976) Judy Luciano ( m.  1977;  div.  1990),7; including Cecily Adams,,"Actor, comedian, voice actor, director","New York City, U.S.",,,,,,,95.98006803698912,
203,J.B. Adams,1954-09-29,,,,Actor,"Oklahoma City, Oklahoma, U.S.",,,,,,,64.5160407126772,
204,Julian Adams,,,,,"Actor, producer","Columbia, South Carolina, U.S.",,,,,,,,
205,Mason Adams,1919-02-26,Margot Feinberg ( m.  1957),,,Actor,"Brooklyn, New York, U.S.",,,,,,,100.1060938965208,
206,Nick Adams,1931-07-10,Carol Nugent ( m.  1959;  div.  1965),"2, including Jeb Stuart Adams",,"Actor, screenwriter","Nanticoke, Pennsylvania, U.S.",1937-07-07,"Los Angeles, California, U.S.",,Nick Adams ( m.  1959;  div.  1965),"2, including Jeb Stuart Adams",-5.9932784382978435,87.73896794595372,81.74568950765587
207,R. J. Adams,1942-09-20,Diane Adams ( m.  1968),Rob Adams,,"Actor, acting coach, radio personality","St. Catharines, Ontario, Canada",,,,,,,76.54092828737072,
208,Rob Adams,1970-02-27,Amy Adams ( m.  1996),3,,"Actor, acting coach","St. Louis, Missouri, U.S.",,,,,,,49.10162426333189,
209,Stanley Adams,1915-04-07,,,,Actor & Screenwriter,"New York City, New York, U.S.",,,,,,,103.99665975345147,
210,Ted Adams,1890-03-17,,,,Actor,"New York City, U.S.",,,,,,,129.0512467744033,
211,Victor Adamson,1890-01-04,Dolores Booth  (–1959),3,,"Screenwriter, film director, film producer, actor","Kansas City, Missouri, U.S.",,,,,,,129.2483760789065,
212,Thom Adcox-Hernandez,,,,,"Actor, voice actor",,,,,,,,,
213,Anthony Mark Addabbo,1960-09-14,Hildellizza Pattino ( m.  1999–2004),Brandon Addabbo,,"
Actor
model
","Coral Gables, Florida",,,,,,,58.555617158463214,
214,Wesley Addy,1913-08-04,Celeste Holm ( m.  1966; died 1996),,UCLA,Actor,"Omaha, Nebraska, U.S.",1917-04-29,"Manhattan, New York, U.S.","Actress, singer",Ralph Nelson  (m. 1936–1939; divorced)  Francis Davies (m. 1940–1945; divorced)  A. Schuyler Dunning (m. 1946–1953; divorced)  Wesley Addy  (m. 1961–1996; his death)  Frank Basile (m. 2004–2012; her death),"2, including Ted Nelson",-3.7345051575323245,105.66952093472145,101.93501577718912
215,Ilunga Adell,1948-11-27,,,,"Producer, screenwriter, actor","Memphis, Tennessee, U.S.",,,,,,,70.35325845157669,
216,Paul Adelstein,1969-04-29,Liza Weil ( m.  2006;  div.  2017),1,,Actor,"Chicago, Illinois, United States",1977-06-05,"Passaic, New Jersey, U.S.",Actress,Paul Adelstein ( m.  2006;  div.  2017),1,-8.101466833678995,49.9339479934564,41.83248115977741
217,Jovan Adepo,,,,,Actor,"Upper Heyford, Oxfordshire, England",,,,,,,,
218,Patrick Adiarte,1943-08-02,,,,"Actor, dancer","Manila, Commonwealth of the Philippines",,,,,,,75.67574967316236,
219,Seth Adkins,1989-10-30,,,,Actor,"Albuquerque, New Mexico, U.S.",,,,,,,29.42976241811947,
220,Jay Adler,1896-08-04,,,,Actor,New York City,,,,,,,122.6664476341061,
221,Jerry Adler,1929-02-04,,,,"Actor, director, producer","Brooklyn, New York City, U.S.",,,,,,,90.16475355414553,
222,Joe Adler,1993-03-29,,,,Actor,Unknown,,,,,,,26.01833028741179,
223,Luther Adler,1903-05-04,Sylvia Sidney ( m.  1938;  div.  1946)     Julie Roche ( m.  1959; died 1984),1,,"Actor, playwright","New York City, U.S.",1910-08-08,"The Bronx, New York City, U.S.",Actress,"July 1, 1999 (1999-07-01)  (aged 88) New York City, U.S.",1,-7.2636672895405106,115.92298267589341,108.6593153863529
224,Matt Adler,1966-12-08,Ria Pavia ( m.  1993;  div.  1995) Laura San Giacomo  ( m.  2000),,,Actor,"Los Angeles, California, U.S.",,,,,,,52.32414081055737,
225,Max Adler,1986-01-17,Jennifer Bronstein ( m.  2015),,,Actor,"Queens, New York City, U.S.",,,,,,,33.21354990177758,
226,Franklin Adreon,1902-11-18,,,,"Screenwriter, director, producer, actor","Gambrills, Maryland, U.S.",,,,,,,116.3802131460605,
227,Nick Afanasiev,1989-07-29,,,,Actor,"Moscow, Soviet Union",,,,,,,29.6843877697694,
228,Ben Affleck,1972-08-15,Jennifer Garner ( m.  2005;  div.  2018),3,,Actordirectorproducerscreenwriter,"Berkeley, California, U.S.",1972-04-17,"Houston, Texas, U.S.","
Actress
film producer
","
 Scott Foley ( m.  2000;  div.  2004) 
 Ben Affleck ( m.  2005;  div.  2018) 
",3,0.3285488408386209,46.63750795704224,46.96605679788086
229,Casey Affleck,1975-08-12,Summer Phoenix ( m.  2006;  div.  2017),2,George Washington UniversityColumbia University,ActorDirector,"Falmouth, Massachusetts, U.S.",1978-12-10,"Winter Park, Florida, U.S.","Actress, model, designer",Casey Affleck ( m.  2006;  div.  2017),2,-3.3292949204980253,43.64771350541079,40.31841858491276
230,John Agar,1921-01-31,Shirley Temple ( m.  1945;  div.  1950) Loretta Combs ( m.  1951; died 2000),3,,Actor,"Chicago, Illinois, U.S.",,,,,,,98.1758694565939,
231,Arthur Agee,1972-10-22,,,,Basketball player,"Chicago, Illinois, U.S.",,,,,,,46.45133028056702,
232,Steve Agee,1969-02-26,,,,"Comedian, actor, writer","Riverside, California, U.S.",,,,,,,50.10369822788969,
233,Robert Agnew,1899-06-04,,,,Actor,"Dayton, Kentucky, U.S.",,,,,,,119.83545178888,
234,Jonathan Ahdout,1989-03-18,,,,Actor,"Santa Monica, California, U.S.",,,,,,,30.04852940169887,
235,Waris Ahluwalia,,,,,"Designer, actor","Amritsar, Punjab, India",,,,,,,,
236,Philip Ahn,1905-03-29,,,,Actor,"Highland Park, Los Angeles, California, U.S.",,,,,,,114.0201373060364,
237,Charles Aidman,1925-01-21,Frances Marie Spriggs ( m.  1957;  div.  1967)     Betty Hyatt Linton ( m.  1969; died 1993),,DePauw University  Indiana University,Actor,"Frankfort, Indiana, U.S.",,,,,,,94.20316638945359,
238,Danny Aiello,1933-06-20,Sandy Cohen  (1955–present),"Danny, Rick, Jaime, Stacey",,Actor,"Manhattan, New York, U.S.",,,,,,,85.79231606398488,
239,Danny Aiello III,1957-01-27,Cindy Lamb (2001–2010; his death; 2 children),,,"Actor, stuntman, director","The Bronx, New York, U.S.",,,,,,,62.18608184972997,
240,Liam Aiken,1990-01-07,,,Dwight-Englewood School,Actor,"New York City, New York, U.S.",,,,,,,29.24084683463726,
241,Alan Aisenberg,1993-03-18,,,,Actortelevision producer,,,,,,,,26.04844726448866,
242,Spottiswoode Aitken,1868-04-16,Marion Dana Jones,,,Actor,"Edinburgh, Scotland",,,,,,,150.9681923653463,
243,Franklyn Ajaye,1949-05-13,,,,"Actor, comedian","Brooklyn, New York, U.S.",,,,,,,69.89602798140962,
244,Ayad Akhtar,1970-10-28,,,Brown University (BA)Columbia University (MFA),"Actor, writer","Staten Island, New York, U.S.",,,,,,,48.43631286063369,
245,Gbenga Akinnagbe,1978-12-12,,,,"Actor, writer","Washington, D.C., U.S.",,,,,,,40.312942770898786,
246,Claude Akins,1926-05-25,Therese Fairfield ( m.  1952),3,,Actor,"Nelson, Georgia, U.S.",,,,,,,92.8643298630362,
247,Marc Alaimo,1942-05-05,,,,Actor,"Milwaukee, Wisconsin, U.S.",,,,,,,76.91875945433513,
248,Mark Alan,,,,,"Actor, Producer, Executive","Lansing, MI",,,,,,,,
249,"Americo ""Rico"" Alaniz",1919-10-25,,,,Actor,"Juárez, Mexico",,,,,,,99.44625830783657,
250,Frank Albanese,1931-05-16,,,,Actor,,,,,,,,87.88955283133808,
251,Luis Alberni,1886-10-04,Charlotte Hall Alberni ( m.  1919;  div.  1940),,,Actor,"Barcelona, Spain",,,,,,,132.50100960320881,
252,Devin Albert,1999-01-06,,,,"Actor, Host","Richmond, Virginia, U.S.",,,,,,,20.244084409673025,
253,Eddie Albert,1906-04-22,"Westwood Village Memorial Park Cemetery , Los Angeles, California","Edward Albert, Maria Albert Zucht",,"Actor, singer, humanitarian, activist","Rock Island, Illinois, U.S.",1917-05-10,"Mexico City, Distrito Federal, Mexico",Actress,"
 Francis Lederer ( m.  1937;  div.  1940) 
 Eddie Albert ( m.  1945; her death 1985) 
",Edward Albert,-11.050192680205617,112.95509148031788,101.90489880011225
254,Jack Briggs,1920-08-01,Ginger Rogers ( m.  1943; divorce 1947) Barbara Anne Briggs,,,Actor,,1911-07-16,"Independence, Missouri, U.S.","
Actress
dancer
singer
",Jack Pepper ( m.  1929;  div.  1931) Lew Ayres ( m.  1934;  div.  1940) Jack Briggs ( m.  1943;  div.  1949) Jacques Bergerac ( m.  1953;  div.  1957) William Marshall ( m.  1961;  div.  1969),,9.04604475109003,98.6769064388728,107.72295118996283
255,Edward Albert,1951-02-20,Katherine Woodville ( m.  1978; his death 2006),,,Actor,"Los Angeles, California, U.S.",1938-12-04,"London, England",Actress,Patrick Macnee ( m.  1965;  div.  1969)   Jerrold Freedman ( m.  1970;  div.  1975) Edward Albert ( m.  1979; his death 2006),1,12.213803158175732,68.12186424088105,80.33566739905679
256,Micah Alberti,1984-08-19,,,,"Actor, model","Oregon, Wisconsin, US",,,,,,,34.62630991738366,
257,Coit Albertson,1880-10-14,,,,Actor,"Reading, Pennsylvania",,,,,,,138.47238478545077,
258,Frank Albertson,1909-02-02,Virginia Shelley ( m.  1931;  div.  1943) Grace Gillern ( m.  1943; his death 1964),5,,Actor,"Fergus Falls, Minnesota, U.S.",,,,,,,110.17064005421057,
259,Jack Albertson,1907-06-16,June Wallace Thompson ( m.  1952; his death 1981) [1],1,,"Actor, comedian, dancer, singer","Malden, Massachusetts, U.S.",,,,,,,111.8051705373827,
260,J. Grant Albrecht,1966-05-22,,,,"Actor, voice actor, speech writer, presentation coach, motivational speaker","California, U.S.",,,,,,,52.871722211955074,
261,Tucker Albrizzi,,,,,Actor,"Palm Harbor, Florida, U.S.",,,,,,,,
262,Chris Alcaide,1922-10-23,Georgia Holt ( m.  1948;  div.  1949) Peri Hatman Alcaide   ( m.  1956),,,"Actor, businessman","Youngstown, Ohio, U.S.",1926-06-09,"Kensett, Arkansas, U.S.","
Singer-songwriter
actress
model
",John Sarkisian ( m.  1946;  div.  1947) ( m.  1965;  div.  1966) Chris Alcaide ( m.  1948;  div.  1949) John Southall ( m.  1951;  div.  1955) Joseph Harper Collins ( m.  1957;  div.  1961) Gilbert Hartmann LaPiere  ( m.  1961;  div.  196?) Hamilton T Holt ( m.  1970;  div.  1974),"2, including Cher",-3.6277267842597727,96.45098804219114,92.82326125793138
263,Alejandro Alcondez,1970-08-03,,,,"Actor, film director, film producer, screenwriter","Guadalajara, Jalisco, Mexico",,,,,,,48.6717728632347,
264,Todd Alcott,1961-10-22,Sara Gaffney (1998–present),,,"Actor, director, screenwriter","Crystal Lake, Illinois, U.S.",,,,,,,57.45224063464684,
265,Alan Alda,1936-01-28,Fordham University,"
Eve
Elizabeth
Beatrice
",,"
Actor
author
activist
director
screenwriter
comedian
","New York City, U.S.",1933-03-12,"The Bronx, New York City, U.S.","Photographer, writer",Alan Alda  ( m.   1957 ),"3, including Elizabeth and Beatrice Alda",2.88027817135191,83.18582859333183,86.06610676468374
266,Antony Alda,1956-12-09,Leslie Clark ( m.  1975;  div.  1977) Lori Carrell ( m.  1981;  div.  1992),2,,Actor,"St. Julien, France",,,,,,,62.32023929307241,
267,Robert Alda,1914-02-26,Joan Browne ( m.  1932;  div.  1946)   Flora Marino ( m.  1955),with Browne: Alan Alda with Marino: Antony Alda,,Actor,"New York City, U.S.",,,,,,,105.10551209128182,
268,Norman Alden,1924-09-13,Sharon Hayden  (1966–1978; divorced); 2 children,,,Actor,"Fort Worth, Texas, U.S.",,,,,,,94.55909430036209,
269,Tom Aldredge,1928-02-28,"Theoni V. Aldredge  (1953–January 21, 2011; her death)",,,Actor,"Dayton, Ohio, U.S.",,,,,,,91.10111775053561,
270,Fred Aldrich,1904-12-23,,,,Actor,"New York City, New York, United States",,,,,,,114.2829763787073,
271,Kevin Alejandro,1976-04-07,Leslie de Jesus,1,,"Actor, Film Director","San Antonio, Texas, U.S.",,,,,,,42.99335373074054,
272,Grant Aleksander,1960-08-06,Sherry Ramsey (1987–present),,,Actor,"Baltimore, Maryland, U.S.",,,,,,,58.66239553173576,
273,Aki Aleong,1934-12-19,,,,"Actor, singer-songwriter, producer, director","Port of Spain, Trinidad and Tobago",,,,,,,84.29468093116218,
274,John Ales,1969-01-03,,,,Actor,"Los Angeles, California, U.S.",,,,,,,50.25154520626707,
275,Frank Alesia,1944-01-04,,,,,,,,,,,,75.25137408707913,
276,Frank Aletter,1926-01-14,Lee Meriwether ( m.  1958;  div.  1974) Estella Aletter  ( m.  1984),4,,Actor,"Queens, New York City New York, US",1935-05-27,"Los Angeles, California, U.S.",Actress and model,Frank Aletter ( m.  1958;  div.  1974) Marshall Borden  ( m.  1986),2,-9.363641963900696,93.2229956809517,83.859353717051
277,Ben Alexander,1911-06-27,,,,Actor,"Goldfield, Nevada, U.S.",,,,,,,107.77497142309562,
278,Christian Alexander,1990-04-14,,,,Actor,"Athens, Greece",,,,,,,28.975269854959375,
279,Cris Alexander,1920-01-14,"Shaun O’Brien ( partner from 1950, m.2011)",,,"Actor, singer, dancer, designer,  photographer","Tulsa, Oklahoma, U.S.",,,,,,,99.2244878402705,
280,Flex Alexander,1970-04-15,Shanice  ( m.   2000 ),2,,"Actor, comedian, dancer","Harlem, New York, U.S.",1973-05-14,"Pittsburgh, Pennsylvania, U.S.","
Singer
songwriter
actress
dancer
keyboardist
",Flex Alexander  ( m.  2000),2,-3.0801453828620713,48.97294263400344,45.89279725114137
281,Jace Alexander,1964-04-07,Maddie Corman  ( m.  1998),3,,"Actor, television director","New York City, New York, U.S.",1970-08-15,"Manhattan, New York, U.S.",Actress,"Roger M. Dickes 1992-1997 
 Jace Alexander  ( m.  1998)",3,-6.3546821632203265,54.993600142371164,48.63891797915084
282,Jason Alexander,1959-09-23,Daena Title ( m.  1982),2,,"Actor, voice actor, comedian, singer, director","Newark, New Jersey, U.S.",,,,,,,59.53304995995811,
283,John Alexander,1897-11-29,,,,Actor,"Newport, Kentucky, U.S.",,,,,,,121.34677645673764,
284,Pico Alexander,1991-06-03,,,,Actor,"New York City, New York, United States",,,,,,,27.839038447059146,
285,Richard Alexander,1902-11-19,,,,Actor,"Dallas, Texas, U.S.",,,,,,,116.37747523905351,
286,River Alexander,1999-11-29,,,,Actor,"Southwest Ranches, Florida, United States",,,,,,,19.348788818387785,
287,Ross Alexander,1907-07-27,"Aleta Freel  (1934–1935, her suicide)   Anne Nagel  (1936–1937, his suicide)",,,Actor,"Brooklyn, New York, U.S.",,,,,,,111.69291635009617,
288,Phillip Alford,1948-09-11,Carol Sue Moore (? - ?) (divorced) (2 children),,,Actor,"Gadsden, Alabama, U.S.",,,,,,,70.56407729111481,
289,Mahershala Ali,1974-02-16,Amatus-sami-Karim ( m.  2013),1,"Saint Mary's College, California (BA)New York University (MFA)",Actor,"Oakland, California, U.S.",,,,,,,45.13165910319856,
290,Jed Allan,1935-03-01,Toby Brown ( m.  1958; died 2001),3,,"Actor, game show host","New York, New York, U.S.",,,,,,,84.097551626659,
291,Stuart Allan,,,,,"Voice actor, actor","Northern Virginia, U.S.",,,,,,,,
292,William Alland,1916-03-04,,,,"Producer, writer","Delmar, Delaware, U.S.",,,,,,,103.08767462713129,
293,Bill Allen,1962-11-07,,,,Actor,"Wichita, Kansas, U.S.",,,,,,,56.40909806498422,
294,Chad Allen,1974-06-05,,,,Actor,"Cerritos, California, U.S.",,,,,,,44.83322723943681,
295,Chet Allen,1939-05-06,,,,Actor,"Chillicothe, Ohio, U.S.",,,,,,,79.91676762698755,
296,Chet Allen,1928-08-17,,,,"Actor, art director, production designer","Chickasha, Oklahoma, U.S.",,,,,,,90.63293565234056,
297,Corey Allen,1934-06-29,,1,,"Actor, director, producer, writer","Cleveland, Ohio, U.S.",,,,,,,84.76833884337118,
298,Dave Allen,,,,Augustana College,"Actor, comedian","Naperville, Illinois, U.S.",,,,,,,,
299,Fred Allen,1894-05-31,,,,,"Cambridge, Massachusetts",,,,,,,124.84582161166895,
300,Harry Allen,1883-07-10,"Marjorie Josephine (née Condon) Allen (1910-1915), Gertrude Dorothea (née Hyde) Allen",Paula AllenHarry Radford Allen Jr.,,Actor,Australia[1],,,,,,,135.73721568546924,
301,Keegan Allen,1989-07-22,,,,"Actor, musician, author, photographer","California, U.S.[1]",,,,,,,29.70355311881832,
302,Lester Allen,1891-11-17,,,,Actor,"Utica, New York, U.S.",,,,,,,127.38112350014032,
303,Phillip R. Allen,1939-03-26,Jones Allen,1,,Actor,"Pittsburgh, Pennsylvania, U.S.",,,,,,,80.02902181427407,
304,Rex Allen,1920-12-31,Doris Winsor (m. 19??; div. 19??) Bonnie Linder ( m.  1946;  div.  1973) Virginia Hudson ( m.  1992;  div.  1999),"5, including Rex Allen, Jr.",,"Actor, singer, songwriter","Willcox, Arizona, U.S.",,,,,,,98.26074457381056,
305,Robert Allen,1906-03-28,Frances Cookman (1964-?)   Evelyn Peirce  (1934-1960; her death) 2 children,,,Actor,"Mount Vernon, New York, U.S.",,,,,,,113.02353915549259,
306,Tyrees Allen,1954-07-31,,,,Actor,"Salina, Kansas, U.S.",,,,,,,64.6803151330965,
